candidate,cx,cy,cz,radius,az_deg,x,y,z,reachable
x055_y-035_z095,0.55,-0.35,0.95,0.50,60,0.983,-0.100,1.000,0
x055_y-035_z095,0.55,-0.35,0.95,0.50,300,0.117,-0.100,1.000,0
x055_y-035_z095,0.55,-0.35,0.95,0.50,150,0.800,-0.783,1.000,0
x055_y-035_z095,0.55,-0.35,0.95,0.50,210,0.300,-0.783,1.000,0
x055_y-035_z095,0.55,-0.35,0.95,0.60,0,0.550,0.250,1.000,1
x055_y-035_z095,0.55,-0.35,0.95,0.60,180,0.550,-0.950,1.000,0
x055_y-035_z095,0.55,-0.35,0.95,0.60,90,1.150,-0.350,1.000,0
x055_y-035_z095,0.55,-0.35,0.95,0.60,270,-0.050,-0.350,1.000,0
x055_y-035_z095,0.55,-0.35,0.95,0.60,30,0.850,0.170,1.000,0
x045_y-025_z090,0.45,-0.25,0.90,0.40,0,0.450,0.150,0.950,1
x045_y-025_z090,0.45,-0.25,0.90,0.40,180,0.450,-0.650,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.40,90,0.850,-0.250,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.40,270,0.050,-0.250,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.40,30,0.650,0.096,0.950,1
x045_y-025_z090,0.45,-0.25,0.90,0.40,330,0.250,0.096,0.950,1
x045_y-025_z090,0.45,-0.25,0.90,0.40,60,0.796,-0.050,0.950,1
x045_y-025_z090,0.45,-0.25,0.90,0.40,300,0.104,-0.050,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.40,150,0.650,-0.596,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.40,210,0.250,-0.596,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.40,120,0.796,-0.450,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.50,0,0.450,0.250,0.950,1
x045_y-025_z090,0.45,-0.25,0.90,0.50,180,0.450,-0.750,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.50,90,0.950,-0.250,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.50,270,-0.050,-0.250,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.50,30,0.700,0.183,0.950,1
x045_y-025_z090,0.45,-0.25,0.90,0.50,330,0.200,0.183,0.950,1
x045_y-025_z090,0.45,-0.25,0.90,0.50,60,0.883,0.000,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.50,300,0.017,0.000,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.50,150,0.700,-0.683,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.50,210,0.200,-0.683,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.60,0,0.450,0.350,0.950,1
x045_y-025_z090,0.45,-0.25,0.90,0.60,180,0.450,-0.850,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.60,90,1.050,-0.250,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.60,270,-0.150,-0.250,0.950,1
x045_y-025_z090,0.45,-0.25,0.90,0.60,30,0.750,0.270,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.60,330,0.150,0.270,0.950,1
x045_y-025_z090,0.45,-0.25,0.90,0.60,60,0.970,0.050,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.60,300,-0.070,0.050,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.60,150,0.750,-0.770,0.950,0
x045_y-025_z090,0.45,-0.25,0.90,0.60,210,0.150,-0.770,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.40,0,0.600,0.100,0.950,1
x060_y-030_z090,0.60,-0.30,0.90,0.40,180,0.600,-0.700,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.40,90,1.000,-0.300,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.40,270,0.200,-0.300,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.40,30,0.800,0.046,0.950,1
x060_y-030_z090,0.60,-0.30,0.90,0.40,330,0.400,0.046,0.950,1
x060_y-030_z090,0.60,-0.30,0.90,0.40,60,0.946,-0.100,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.40,300,0.254,-0.100,0.950,1
x060_y-030_z090,0.60,-0.30,0.90,0.40,150,0.800,-0.646,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.40,210,0.400,-0.646,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.40,120,0.946,-0.500,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.40,240,0.254,-0.500,0.950,1
x060_y-030_z090,0.60,-0.30,0.90,0.50,0,0.600,0.200,0.950,1
x060_y-030_z090,0.60,-0.30,0.90,0.50,180,0.600,-0.800,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.50,90,1.100,-0.300,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.50,270,0.100,-0.300,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.50,30,0.850,0.133,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.60,0,0.600,0.300,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.60,180,0.600,-0.900,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.60,90,1.200,-0.300,0.950,0
x060_y-030_z090,0.60,-0.30,0.90,0.60,270,0.000,-0.300,0.950,0
x035_y-020_z080,0.35,-0.20,0.80,0.40,0,0.350,0.200,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.40,180,0.350,-0.600,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.40,90,0.750,-0.200,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.40,270,-0.050,-0.200,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.50,0,0.350,0.300,0.850,1
x035_y-020_z080,0.35,-0.20,0.80,0.50,180,0.350,-0.700,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.50,90,0.850,-0.200,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.50,270,-0.150,-0.200,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.50,30,0.600,0.233,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.60,0,0.350,0.400,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.60,180,0.350,-0.800,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.60,90,0.950,-0.200,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.60,270,-0.250,-0.200,0.850,1
x035_y-020_z080,0.35,-0.20,0.80,0.60,30,0.650,0.320,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.60,330,0.050,0.320,0.850,1
x035_y-020_z080,0.35,-0.20,0.80,0.60,60,0.870,0.100,0.850,1
x035_y-020_z080,0.35,-0.20,0.80,0.60,300,-0.170,0.100,0.850,1
x035_y-020_z080,0.35,-0.20,0.80,0.60,150,0.650,-0.720,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.60,210,0.050,-0.720,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.60,120,0.870,-0.500,0.850,0
x035_y-020_z080,0.35,-0.20,0.80,0.60,240,-0.170,-0.500,0.850,1
x030_y-015_z075,0.30,-0.15,0.75,0.40,0,0.300,0.250,0.800,0
x030_y-015_z075,0.30,-0.15,0.75,0.40,180,0.300,-0.550,0.800,1
x030_y-015_z075,0.30,-0.15,0.75,0.40,90,0.700,-0.150,0.800,1
x030_y-015_z075,0.30,-0.15,0.75,0.40,270,-0.100,-0.150,0.800,1
x030_y-015_z075,0.30,-0.15,0.75,0.40,30,0.500,0.196,0.800,1
x030_y-015_z075,0.30,-0.15,0.75,0.40,330,0.100,0.196,0.800,0
x030_y-015_z075,0.30,-0.15,0.75,0.40,60,0.646,0.050,0.800,1
x030_y-015_z075,0.30,-0.15,0.75,0.40,300,-0.046,0.050,0.800,0
x030_y-015_z075,0.30,-0.15,0.75,0.40,150,0.500,-0.496,0.800,1
x030_y-015_z075,0.30,-0.15,0.75,0.40,210,0.100,-0.496,0.800,1
x030_y-015_z075,0.30,-0.15,0.75,0.40,120,0.646,-0.350,0.800,0
x030_y-015_z075,0.30,-0.15,0.75,0.40,240,-0.046,-0.350,0.800,1
x030_y-015_z075,0.30,-0.15,0.75,0.50,0,0.300,0.350,0.800,0
x030_y-015_z075,0.30,-0.15,0.75,0.50,180,0.300,-0.650,0.800,0
x030_y-015_z075,0.30,-0.15,0.75,0.50,90,0.800,-0.150,0.800,0
x030_y-015_z075,0.30,-0.15,0.75,0.50,270,-0.200,-0.150,0.800,0
x030_y-015_z075,0.30,-0.15,0.75,0.60,0,0.300,0.450,0.800,0
x030_y-015_z075,0.30,-0.15,0.75,0.60,180,0.300,-0.750,0.800,0
x030_y-015_z075,0.30,-0.15,0.75,0.60,90,0.900,-0.150,0.800,0
x030_y-015_z075,0.30,-0.15,0.75,0.60,270,-0.300,-0.150,0.800,0
x040_y-020_z070,0.40,-0.20,0.70,0.40,0,0.400,0.200,0.750,0
x040_y-020_z070,0.40,-0.20,0.70,0.40,180,0.400,-0.600,0.750,0
x040_y-020_z070,0.40,-0.20,0.70,0.40,90,0.800,-0.200,0.750,0
x040_y-020_z070,0.40,-0.20,0.70,0.40,270,0.000,-0.200,0.750,0
x040_y-020_z070,0.40,-0.20,0.70,0.50,0,0.400,0.300,0.750,0
x040_y-020_z070,0.40,-0.20,0.70,0.50,180,0.400,-0.700,0.750,0
x040_y-020_z070,0.40,-0.20,0.70,0.50,90,0.900,-0.200,0.750,0
x040_y-020_z070,0.40,-0.20,0.70,0.50,270,-0.100,-0.200,0.750,0
x040_y-020_z070,0.40,-0.20,0.70,0.60,0,0.400,0.400,0.750,0
x040_y-020_z070,0.40,-0.20,0.70,0.60,180,0.400,-0.800,0.750,0
x040_y-020_z070,0.40,-0.20,0.70,0.60,90,1.000,-0.200,0.750,0
x040_y-020_z070,0.40,-0.20,0.70,0.60,270,-0.200,-0.200,0.750,0
x030_y-020_z090,0.30,-0.20,0.90,0.40,0,0.300,0.200,0.950,0
x030_y-020_z090,0.30,-0.20,0.90,0.40,180,0.300,-0.600,0.950,0
x030_y-020_z090,0.30,-0.20,0.90,0.40,90,0.700,-0.200,0.950,0
x030_y-020_z090,0.30,-0.20,0.90,0.40,270,-0.100,-0.200,0.950,0
x030_y-020_z090,0.30,-0.20,0.90,0.50,0,0.300,0.300,0.950,0
x030_y-020_z090,0.30,-0.20,0.90,0.50,180,0.300,-0.700,0.950,0
x030_y-020_z090,0.30,-0.20,0.90,0.50,90,0.800,-0.200,0.950,0
x030_y-020_z090,0.30,-0.20,0.90,0.50,270,-0.200,-0.200,0.950,0
x030_y-020_z090,0.30,-0.20,0.90,0.60,0,0.300,0.400,0.950,0
x030_y-020_z090,0.30,-0.20,0.90,0.60,180,0.300,-0.800,0.950,0
x030_y-020_z090,0.30,-0.20,0.90,0.60,90,0.900,-0.200,0.950,0
x030_y-020_z090,0.30,-0.20,0.90,0.60,270,-0.300,-0.200,0.950,0
x050_y-030_z0525,0.50,-0.30,0.53,0.40,0,0.500,0.100,0.575,0
x050_y-030_z0525,0.50,-0.30,0.53,0.40,180,0.500,-0.700,0.575,0
x050_y-030_z0525,0.50,-0.30,0.53,0.40,90,0.900,-0.300,0.575,0
x050_y-030_z0525,0.50,-0.30,0.53,0.40,270,0.100,-0.300,0.575,0
x050_y-030_z0525,0.50,-0.30,0.53,0.50,0,0.500,0.200,0.575,0
x050_y-030_z0525,0.50,-0.30,0.53,0.50,180,0.500,-0.800,0.575,0
x050_y-030_z0525,0.50,-0.30,0.53,0.50,90,1.000,-0.300,0.575,0
x050_y-030_z0525,0.50,-0.30,0.53,0.50,270,0.000,-0.300,0.575,0
x050_y-030_z0525,0.50,-0.30,0.53,0.60,0,0.500,0.300,0.575,0
x050_y-030_z0525,0.50,-0.30,0.53,0.60,180,0.500,-0.900,0.575,0
x050_y-030_z0525,0.50,-0.30,0.53,0.60,90,1.100,-0.300,0.575,0
x050_y-030_z0525,0.50,-0.30,0.53,0.60,270,-0.100,-0.300,0.575,0
x040_y-020_z069,0.40,-0.20,0.69,0.40,0,0.400,0.200,0.740,0
x040_y-020_z069,0.40,-0.20,0.69,0.40,180,0.400,-0.600,0.740,0
x040_y-020_z069,0.40,-0.20,0.69,0.40,90,0.800,-0.200,0.740,0
x040_y-020_z069,0.40,-0.20,0.69,0.40,270,0.000,-0.200,0.740,0
x040_y-020_z069,0.40,-0.20,0.69,0.50,0,0.400,0.300,0.740,0
x040_y-020_z069,0.40,-0.20,0.69,0.50,180,0.400,-0.700,0.740,0
x040_y-020_z069,0.40,-0.20,0.69,0.50,90,0.900,-0.200,0.740,0
x040_y-020_z069,0.40,-0.20,0.69,0.50,270,-0.100,-0.200,0.740,0
x040_y-020_z069,0.40,-0.20,0.69,0.60,0,0.400,0.400,0.740,0
x040_y-020_z069,0.40,-0.20,0.69,0.60,180,0.400,-0.800,0.740,0
x040_y-020_z069,0.40,-0.20,0.69,0.60,90,1.000,-0.200,0.740,0
x040_y-020_z069,0.40,-0.20,0.69,0.60,270,-0.200,-0.200,0.740,0
